document_id,ID,topic_id,probability
710,2122,3,0.048427276
710,2122,4,0.04071509
710,2122,5,0.35824823
710,2122,6,0.11129705
710,2122,7,0.04723232
710,2122,8,0.208827
710,2122,9,0.03289755
711,2123,0,0.11634877
711,2123,1,0.029213171
711,2123,2,0.028781714
711,2123,3,0.037687846
711,2123,4,0.031685982
711,2123,5,0.18887846
711,2123,6,0.031132849
711,2123,7,0.036757894
711,2123,8,0.47391117
711,2123,9,0.02560207
712,2125,0,0.0682971
712,2125,1,0.030927649
712,2125,2,0.08919206
712,2125,3,0.09858417
712,2125,4,0.088104986
712,2125,5,0.40504134
712,2125,6,0.032959998
712,2125,7,0.039137222
712,2125,8,0.12065078
712,2125,9,0.027104618
713,2115,0,0.11048879
713,2115,1,0.01475462
713,2115,2,0.06991272
713,2115,3,0.20218198
713,2115,4,0.0158545
713,2115,5,0.30299965
713,2115,6,0.016088191
713,2115,7,0.15448229
713,2115,8,0.10042691
713,2115,9,0.012810337
714,2116,0,0.23023352
714,2116,1,0.02082657
714,2116,2,0.130492
714,2116,3,0.03648888
714,2116,4,0.022799365
714,2116,5,0.26748842
714,2116,6,0.06184059
714,2116,7,0.073424965
714,2116,8,0.15017
715,2104,0,0.14911503
715,2104,1,0.037539437
715,2104,2,0.03698501
715,2104,3,0.048429564
715,2104,4,0.040717024
715,2104,5,0.31399116
715,2104,6,0.04000628
715,2104,7,0.04723455
715,2104,8,0.25308287
715,2104,9,0.032899108
716,2106,0,0.054774214
716,2106,1,0.07623063
716,2106,2,0.12586302
716,2106,3,0.08385845
716,2106,4,0.028519621
716,2106,5,0.31946486
716,2106,6,0.028021814
716,2106,7,0.033084717
716,2106,8,0.12731309
716,2106,9,0.12286958
717,2107,0,0.15437524
717,2107,1,0.12613696
717,2107,2,0.025905041
717,2107,3,0.08385661
717,2107,4,0.09875209
717,2107,5,0.21724693
717,2107,6,0.028021194
717,2107,7,0.033084024
717,2107,8,0.1097198
717,2107,9,0.12290218
718,2108,0,0.057383697
718,2108,1,0.027674759
718,2108,2,0.0798266
718,2108,3,0.088259056
718,2108,4,0.030017337
718,2108,5,0.2840385
718,2108,6,0.02949336
718,2108,7,0.034822173
718,2108,8,0.134022
718,2108,9,0.23446247
719,2109,0,0.062229883
719,2109,1,0.030030945
719,2109,2,0.029557537
719,2109,3,0.09946224
719,2109,4,0.16883528
719,2109,5,0.19419925
719,2109,6,0.031985763
719,2109,7,0.095346205
719,2109,8,0.26204094
719,2109,9,0.026311949
720,2110,0,0.1351579
720,2110,1,0.029210327
720,2110,2,0.028778912
720,2110,3,0.18622404
720,2110,4,0.031682882
720,2110,5,0.24738991
720,2110,6,0.033594634
720,2110,7,0.03675432
720,2110,8,0.19014199
720,2110,9,0.081065066
721,2111,0,0.06412584
721,2111,1,0.030926349
721,2111,2,0.030469595
721,2111,3,0.039898027
721,2111,4,0.033544168
721,2111,5,0.14122745
721,2111,6,0.03295862
721,2111,7,0.038913533
721,2111,8,0.560833
721,2111,9,0.027103478
722,2112,0,0.19714296
722,2112,1,0.04485627
722,2112,2,0.044644456
722,2112,3,0.08695403
722,2112,4,0.016789082
722,2112,5,0.2579297
722,2112,6,0.12062
722,2112,7,0.08020673
722,2112,8,0.056664288
