document_id,ID,topic_id,probability
17,3723,3,0.05260829
17,3723,4,0.035289418
17,3723,5,0.55258924
17,3723,6,0.05128125
18,3706,0,0.022662543
18,3706,1,0.04465193
18,3706,2,0.18565995
18,3706,3,0.015466563
18,3706,5,0.6716692
18,3706,6,0.049979202
19,3710,0,0.036210414
19,3710,1,0.10875786
19,3710,2,0.06532588
19,3710,3,0.01036438
19,3710,5,0.7414605
19,3710,6,0.0314165
20,3696,0,0.16257173
20,3696,1,0.15507643
20,3696,2,0.2166669
20,3696,3,0.047885172
20,3696,4,0.03211491
20,3696,5,0.33913693
20,3696,6,0.046547897
21,3697,0,0.28005412
21,3697,1,0.069554076
21,3697,2,0.06034632
21,3697,3,0.25302818
21,3697,4,0.035363257
21,3697,5,0.2503976
21,3697,6,0.05125645
22,3699,0,0.011092574
22,3699,1,0.07354754
22,3699,2,0.25243577
22,3699,5,0.6434705
23,3691,0,0.023928285
23,3691,5,0.934311
23,3691,6,0.017779848
24,3672,0,0.079386316
24,3672,1,0.07091228
24,3672,2,0.063173145
24,3672,3,0.05665049
24,3672,4,0.42446426
24,3672,5,0.1533425
24,3672,6,0.15207098
25,3675,0,0.086395286
25,3675,1,0.07720753
25,3675,2,0.066969335
25,3675,3,0.17077675
25,3675,4,0.15152961
25,3675,5,0.38996837
25,3675,6,0.057153117
26,3680,0,0.45395738
26,3680,1,0.10609486
26,3680,2,0.044014573
26,3680,3,0.03277493
26,3680,4,0.021984478
26,3680,5,0.3057154
26,3680,6,0.035458498
27,3662,0,0.23387784
27,3662,1,0.058135826
27,3662,2,0.38012928
27,3662,3,0.044085324
27,3662,4,0.031231271
27,3662,5,0.12463632
27,3662,6,0.12790403
28,3663,0,0.10285605
28,3663,1,0.069838695
28,3663,2,0.06616337
28,3663,3,0.052960284
28,3663,4,0.32881525
28,3663,5,0.3278834
28,3663,6,0.05148295
29,3665,0,0.074663706
29,3665,1,0.05867866
29,3665,2,0.29110038
29,3665,3,0.043770093
29,3665,4,0.36535254
29,3665,5,0.123885274
29,3665,6,0.042549286
30,3669,0,0.051625136
30,3669,1,0.04768836
30,3669,2,0.4886852
30,3669,3,0.10209772
30,3669,4,0.023457669
30,3669,5,0.17951965
30,3669,6,0.10692624
31,3649,0,0.17338516
31,3649,1,0.06450122
31,3649,2,0.05750626
31,3649,3,0.36932245
31,3649,4,0.033331092
31,3649,5,0.25282726
31,3649,6,0.04912657
32,3650,0,0.08000155
32,3650,1,0.07145087
32,3650,2,0.5469511
32,3650,3,0.058361582
32,3650,4,0.037162304
32,3650,5,0.15492028
32,3650,6,0.051152408
33,3652,0,0.051423118
33,3652,1,0.042085554
33,3652,2,0.26196817
33,3652,3,0.031838533
33,3652,4,0.4171577
33,3652,5,0.09518785
33,3652,6,0.10033913
34,3653,0,0.04146008
34,3653,1,0.036160488
34,3653,2,0.32728475
34,3653,3,0.026180409
34,3653,4,0.41916537
34,3653,5,0.074098915
34,3653,6,0.07565002
35,3654,0,0.6011787
35,3654,1,0.098931365
35,3654,2,0.09369619
35,3654,3,0.037478227
35,3654,4,0.025139939
35,3654,5,0.10714277
35,3654,6,0.036432877
36,3657,0,0.3778678
36,3657,1,0.06944678
36,3657,2,0.06024099
36,3657,3,0.052642636
36,3657,4,0.036551345
36,3657,5,0.24088806
36,3657,6,0.16236246
37,3658,0,0.13279817
37,3658,1,0.054015968
37,3658,2,0.12632285
37,3658,3,0.04670527
37,3658,4,0.02745258
37,3658,5,0.57287884
37,3658,6,0.039826315
38,3616,0,0.15876944
38,3616,1,0.032488495
38,3616,2,0.046065442
38,3616,3,0.023993295
38,3616,4,0.015962817
38,3616,5,0.2855608
38,3616,6,0.43715975
39,3617,0,0.062000114
39,3617,1,0.04094513
39,3617,2,0.11996579
39,3617,3,0.037942346
39,3617,4,0.02204844
39,3617,5,0.09024007
39,3617,6,0.6268581
40,3618,0,0.6000229
40,3618,1,0.031005709
40,3618,2,0.024844136
40,3618,3,0.08398969
40,3618,4,0.014439898
40,3618,5,0.22460018
40,3618,6,0.021097517
41,3620,0,0.05291663
41,3620,1,0.11277329
41,3620,2,0.040021993
41,3620,3,0.034975138
41,3620,4,0.023459235
41,3620,5,0.115919486
41,3620,6,0.6199342
42,3626,0,0.14082383
42,3626,1,0.05327175
42,3626,2,0.58489406
42,3626,3,0.04038015
42,3626,4,0.027086692
42,3626,5,0.11428959
42,3626,6,0.03925386
43,3630,0,0.0435085
43,3630,1,0.036367465
43,3630,2,0.4728306
43,3630,3,0.15219459
43,3630,4,0.018491432
43,3630,5,0.24980956
43,3630,6,0.026797844
44,3639,0,0.061782032
44,3639,1,0.24871586
44,3639,2,0.018744338
44,3639,3,0.220055
44,3639,4,0.010958154
44,3639,5,0.420274
44,3639,6,0.019470721
45,3606,0,0.11558013
45,3606,5,0.84606844
46,3607,0,0.15315722
46,3607,1,0.063157536
46,3607,2,0.013349126
46,3607,3,0.013827493
46,3607,5,0.5162142
46,3607,6,0.23247515
47,3609,0,0.020800937
47,3609,1,0.24533303
47,3609,2,0.17492713
47,3609,3,0.015158113
47,3609,4,0.010570309
47,3609,5,0.51984006
47,3609,6,0.013370487
48,3610,0,0.7418993
48,3610,1,0.010765245
48,3610,5,0.2164808
49,3611,0,0.018524405
