document_id,ID,topic_id,probability
23,3633,3,0.0508779
23,3633,4,0.4544514
24,3634,0,0.028278995
24,3634,2,0.2615307
24,3634,3,0.011593881
24,3634,4,0.691859
25,3635,0,0.013842
25,3635,2,0.9717568
26,3638,0,0.014082792
26,3638,2,0.9705835
27,3640,0,0.028112635
27,3640,2,0.7524366
27,3640,3,0.12002971
27,3640,4,0.09246523
28,3646,0,0.020619217
28,3646,2,0.4281879
28,3646,3,0.061982002
28,3646,4,0.4848704
29,3613,0,0.045126084
29,3613,1,0.88300055
29,3613,2,0.035003603
29,3613,3,0.019122593
29,3613,4,0.017747186
30,3602,0,0.36218905
30,3602,1,0.090344585
30,3602,2,0.25622615
30,3602,3,0.15172145
30,3602,4,0.13951877
31,3562,0,0.209454
31,3562,1,0.26798645
31,3562,2,0.13591151
31,3562,3,0.3126832
31,3562,4,0.07396487
32,3573,0,0.73809123
32,3573,1,0.019843305
32,3573,2,0.07521003
32,3573,3,0.034233615
32,3573,4,0.13262184
33,3574,0,0.11888504
33,3574,1,0.34703314
33,3574,2,0.46320534
33,3574,3,0.036921155
33,3574,4,0.033955257
34,3575,0,0.11433088
34,3575,1,0.21435775
34,3575,2,0.588721
34,3575,3,0.04436266
34,3575,4,0.03822766
35,3577,0,0.7358369
35,3577,1,0.13003169
35,3577,2,0.06315251
35,3577,3,0.03702712
35,3577,4,0.033951733
36,3548,0,0.76713324
36,3548,1,0.016603066
36,3548,2,0.15538806
36,3548,3,0.031465143
36,3548,4,0.02941047
37,3551,0,0.19186315
37,3551,1,0.047842085
37,3551,2,0.3710329
37,3551,3,0.080351666
37,3551,4,0.30891028
38,3552,0,0.10406424
38,3552,1,0.024678783
38,3552,2,0.7896975
38,3552,3,0.043486714
38,3552,4,0.038072735
39,3534,0,0.026890375
39,3534,2,0.77540904
39,3534,3,0.011147784
39,3534,4,0.18003275
40,3535,0,0.038400188
40,3535,2,0.834819
40,3535,3,0.09484913
40,3535,4,0.02784673
41,3536,0,0.02839464
41,3536,2,0.42905095
41,3536,3,0.12289519
41,3536,4,0.4131413
42,3537,0,0.31978753
42,3537,1,0.29939488
42,3537,2,0.24383958
42,3537,3,0.09537585
42,3537,4,0.041602157
43,3539,0,0.05641886
43,3539,2,0.046931066
43,3539,3,0.8860376
44,3521,0,0.5036873
44,3521,1,0.04990707
44,3521,2,0.34030667
44,3521,3,0.09442173
44,3521,4,0.011677178
45,3527,0,0.05837432
45,3527,2,0.8882188
45,3527,3,0.037682716
46,3468,0,0.1527121
46,3468,1,0.17832859
46,3468,2,0.5640639
46,3468,3,0.054645523
46,3468,4,0.05024987
47,3470,0,0.43054155
47,3470,1,0.028195597
47,3470,2,0.44894394
47,3470,3,0.049004365
47,3470,4,0.043314584
48,3484,0,0.7694681
48,3484,1,0.01181551
48,3484,2,0.11033081
48,3484,3,0.090170234
48,3484,4,0.018215409
49,3486,0,0.2508645
49,3486,1,0.06255814
49,3486,2,0.17744967
49,3486,3,0.105065875
49,3486,4,0.4040618
50,3487,0,0.5583735
50,3487,1,0.062553585
50,3487,2,0.17741565
50,3487,3,0.105054215
50,3487,4,0.096603
51,3413,0,0.14173427
51,3413,2,0.8354085
52,3415,0,0.026540477
52,3415,1,0.1048102
52,3415,2,0.417006
52,3415,4,0.4429158
53,3418,0,0.36218905
53,3418,1,0.090344585
53,3418,2,0.25622615
53,3418,3,0.15172145
53,3418,4,0.13951877
54,3407,0,0.7366805
54,3407,1,0.022002941
54,3407,2,0.062390476
54,3407,3,0.14496069
54,3407,4,0.033965442
55,3400,0,0.09204082
55,3400,2,0.7977701
55,3400,3,0.09239041
